r1bqkb1r/1ppppppp/p1n2n2/8/2P2P2/1Q5P/PP1PP1P1/RNB1KBNR w KQkq - 0 2
rnbqkb1r/1ppppppp/8/p4n2/P1N4P/1P6/2PPPPP1/R1BQKBNR b KQkq - 0 2
rn1qkbnr/ppp1p1pp/5p2/3p1b2/2P2P2/P4N1P/1P1PP1P1/RNBQKB1R w KQkq - 2 2
rnbqkb1r/pppppppp/8/5n2/P2P4/N7/RPP1PPPP/2BQKBNR b Kkq - 2 2
r1bqkb2/pp1ppppr/2p2n2/7p/2P2P1P/PQ2P2N/1P4P1/RNB1KB1R w KQq - 2 2
r1bqkb1r/pppppppp/2n2n2/8/2P2P2/8/PP1PP1PP/RNBQKBNR w KQkq - 1 2
rnbqkbnr/pp2p1pp/5p2/2pp4/2P2P2/P5PP/1P1PP3/RNBQKBNR w KQkq - 0 2
r1bqkbnr/pp1pppp1/2p5/7p/2P2P1P/P3P3/1P1B1NP1/RN1QKB1R b KQkq - 3 2
rnbqkbnr/ppppp1pp/8/5p2/8/P1P5/1P1PPPPP/RNBQKBNR b KQkq - 0 2
rnbqkbnr/ppp1pppp/8/3p4/8/2N2N2/PPPPPPPP/R1BQKB1R b KQkq - 1 2
r1bqkb1r/pppppppp/5n2/4n3/2P2P2/P2P3P/1P2PKP1/RNBQ1BNR b kq - 1 1
rnb1kbnr/ppp1p1pp/3q1p2/3p4/2P2PPP/P7/1P1PP3/RNBQKBNR b KQkq - 0 2
r1bqkb1r/pp1pppp1/5n2/2p3Np/2P2P1P/P3P3/1P4P1/RNBQKB1R w KQkq - 0 2
r1bqkb1r/ppppppp1/5n2/2P4p/5P1P/P2PBn2/1P2PKP1/RN1Q1BNR b kq - 2 2
r1bqkb1r/pp1p1pp1/2p1pn2/4n1Np/2P2P1P/P2PP3/1P3KP1/RNB1QB1R b kq - 1 2
r1bqkb1r/pp1p1pp1/2p1pn2/3Q2Np/2P2P1P/P3P3/1P4P1/RNB1KB1R b KQkq - 1 2
r1bqkb1r/pppppppp/8/3nn3/2P1PP2/P2P3P/1P4P1/RNBQKBNR w KQkq - 1 2
rnbqkb1r/2pppppp/7n/pp6/P1N5/4P3/RPPP1PPP/2BQKBNR b Kkq - 0 2
r1b1kb1r/ppqpppp1/2p2n2/4n2p/2P2P1P/P2PP2N/1P3KP1/RNBQ1B1R b kq - 3 2
rnbq1bnr/pppppkpp/5p2/8/Q1P2P2/8/PP1PP1PP/RNB1KBNR b KQ - 3 2
r1bqkb1r/pppppp2/5n2/4nPpp/2P4P/P2P4/1P2PKP1/RNBQ1BNR w kq g6 0 2
r1bqkb1r/p2pppp1/2p2n2/1p2n2p/2P2P1P/P2PP2N/1P2QKP1/RNB2B1R w kq - 0 2
rnbqkb1r/1ppp1ppp/4p2n/p7/PPN5/8/2PPPPPP/R1BQKBNR w KQkq - 0 2
r1bqkb1r/pp1pppp1/5n2/2p3Np/2P2P1P/PP2P3/6P1/RNBQKB1R b KQkq - 0 2
rnbqkb1r/ppp1pppp/5n2/3p4/2P2P2/7N/PP1PP1PP/RNBQKB1R b KQkq - 1 2
rnbqkb1r/1ppppp1p/7n/p5p1/P1N1P3/6P1/1PPP1P1P/R1BQKBNR b KQkq - 0 2
rnbqkb1r/pppppppp/7n/8/P7/8/1PPPPPPP/RNBQKBNR w KQkq - 1 2
